number|order_date|bill_to|ship_to|shipping_method|item_price|discounts|shipping_cost|taxes|total_price
1293-MS-1228020952|2002-12-28 09:42:05|1293940020399400|MS-948538495|UPS Next Day Air|24.12|2|8.12|0|30.24
1362-KG-1229020657|2002-12-29 06:57:42|1362625264374850|KG-222330000|UPS Next Day Air|319.12|0|18.11|27.93|365.16
2223-FM-1224020932|2002-12-24 09:32:59|2223394948748480|FM-000004858|UPS Next Day Air|79.92|10|8.42|4.8|83.14
2923-NB-0103031727|2003-01-03 17:27:22|2923042922224959|NB-002434467|UPS Ground|42.91|0|5.21|3.76|51.88
2939-LP-1031021919|2002-10-31 19:19:32|2939492834748390|LP-122234005|UPS Ground|9.81|2|2.54|0.81|11.16
3443-GB-0103031527|2003-01-03 15:27:12|3443984399999330|GB-883223458|USPS First Class|66.59|0|8.22|3.82|78.63
3645-GU-1222021222|2002-12-22 12:22:23|3645234859687000|GU-000238854|Fed Ex 2-Day Air|85.82|4|10.72|7.08|99.62
3746-CS-0127031222|2003-01-27 12:22:32|3746435353648740|CS-849599123|UPS Ground|42.91|0|6.24|3.75|52.9
3746-CS-1112020227|2002-11-12 02:27:52|3746435353648740|CS-849599123|Fed Ex 2-Day Air|19.98|0|4.29|1.75|26.02
3849-TT-1101021257|2002-11-01 12:57:22|3849502938487730|TT-842999033|UPS Ground|128.73|0|12.81|10.59|152.13
3938-GM-1130021444|2002-11-30 14:44:52|3938596048373850|GM-452094850|Fed Ex 2-Day Air|15.25|0|4.92|1.07|21.24
3939-LP-1006021542|2002-10-06 15:42:53|3939394384934840|LP-122234005|UPS Ground|178.72|0|11.82|14.7|205.24
3939-TN-1129021719|2002-11-29 17:19:41|3939478378993380|TN-000231112|UPS Ground|117.99|0|8.2|10.32|136.51
3943-AE-1222021922|2002-12-22 19:22:00|3943909696499400|AE-002340002|UPS Ground|89.42|0|4.87|5.37|99.66
3945-MS-1226020752|2002-12-26 07:52:43|3945858294952940|MS-948538495|Fed Ex 2-Day Air|72.81|0|12.32|0|85.13
3948-DE-1202021222|2002-12-02 00:22:30|3948657463539530|DE-101233345|UPS Ground|79.92|10|8.02|4.8|82.74
3949-CE-1029021722|2002-10-29 17:22:11|3949505439785960|CE-411120900|Fed Ex Ground|41.83|0|3.1|2.09|47.02
3949-WA-0106030722|2003-01-06 07:22:35|3949509609548300|WA-011119234|USPS First Class|12.24|0|2.48|0.61|15.33
3959-PH-1114021803|2002-11-14 18:03:32|3959606060996940|PH-499518222|Fed Ex 2-Day Air|72.81|0|4.91|6.6|84.32
4948-FB-0106030622|2003-01-06 06:22:10|4948373647834940|FB-008224094|Fed Ex Next Day Air|99.95|0|6.15|8.25|114.35
5417-JB-0119030822|2003-01-19 08:22:16|5417992839484700|JB-223949530|UPS Ground|18.14|0|12.15|1.08|31.37
7464-JM-1026021638|2002-10-26 16:38:41|7464637489484840|JM-340511920|UPS Ground|23.22|0|9.25|1.4|33.87
8273-HJ-0107031222|2003-01-07 12:22:30|8273728499503280|HJ-388290872|UPS Ground|10.42|0|3.27|0.91|14.6
8484-CA-1219022121|2002-12-19 21:21:03|8484374378348740|CA-666823442|Fed Ex 2-Day Air|79.92|10|9.59|4|83.51
8574-TT-0112032317|2003-01-12 23:17:43|8574363637475480|TT-842999033|UPS Ground|48.96|0|3.16|4.03|56.15
8884-JJ-0103030630|2003-01-03 06:30:40|8884736478684500|JJ-992341245|Fed Ex Ground|9.99|0|3.37|0.87|14.23
9294-SG-0115030918|2003-01-15 09:18:12|9294930059593400|SG-018843954|USPS First Class|32.92|0|5.82|2.72|41.46
9384-JJ-1229022118|2002-12-29 21:18:23|9384858970593840|JJ-294500091|Fed Ex Ground|112.42|0|9.19|6.75|128.36
9393-JW-1227021829|2002-12-27 18:29:32|9393898598599890|JW-488248859|UPS Next Day Air|149.97|0|6.52|7.5|163.99
9457-DF-0104030020|2003-01-04 00:20:20|9457363675375840|DF-093884511|UPS Ground|72.81|0|12.32|6|91.13
9494-EZ-1129022111|2002-11-29 21:11:39|9494859860594840|EZ-533048578|USPS First Class|49.95|0|6.82|4.12|60.89
9494-GN-0102030522|2003-01-02 05:22:57|9494873737384400|GN-554299853|UPS Ground|52.42|0|4.89|4.46|61.77
9498-SG-0103030022|2003-01-03 00:22:32|9498585949433840|SG-018843954|Fed Ex Ground|36.28|0|4.12|2.99|43.39
9596-FT-1024020618|2002-10-24 18:18:39|9596050938485950|FT-002349245|UPS Ground|24.28|0|7.42|2.06|33.76
9827-AR-0109031239|2003-01-09 12:39:42|9827272638938370|AR-002991123|USPS First Class|112.42|0|7.12|9.78|129.32
